0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:26 -0500] "GET /Sistema_de_Pruebas_Academicas/panel.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:26 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:49 -0500] "GET /Sistema_de_Pruebas_Academicas/curso.jsp HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:49 -0500] "GET /Sistema_de_Pruebas_Academicas/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:49 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js?_=1381098746463 HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:49 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js?_=1381098746464 HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:49 -0500] "GET /Sistema_de_Pruebas_Academicas/js/bootstrap.js?_=1381098746465 HTTP/1.1" 200 61884
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:53 -0500] "GET /Sistema_de_Pruebas_Academicas/panel.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:53 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:55 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno.jsp HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:55 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js?_=1381098773579 HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:55 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js?_=1381098773580 HTTP/1.1" 200 454
